org_be_kod;gp_kod;gp_group_rank_shortname_rus;gp_subgroup_rank_shortname_rus
0101;A10;01.дюХжо;01.01.дюХжо
0101;A11;01.дюХжо;01.02.дюХжо оНДПЪД
0101;A12;01.дюХжо;01.03.дюХжо оою
0101;A13;01.дюХжо;01.04.яляо лЕРПНКНЦХЪ
0101;B10;02.соа;02.01.соа
0101;C10;03.жл;03.01.жлп
0101;D10;03.жл;03.02.жлгХя
0101;E10;04.дцщ;04.01.дцщ
0101;E11;04.дцщ;04.02.дцщ щм
0101;E12;04.дцщ;04.03.дцщ щн
0101;F10;05.он;05.01.он попн
0101;G10;06.дяон;06.01.дяон
0101;H10;07.суд;07.01.суд (тжн)
0101;H11;07.суд;07.02.суд
0101;H12;07.суд;07.03.суд яас
0101;I10;08.жд;08.01.жд
0101;J10;09.жпнот;09.01.жпнот
0101;J11;10.гХя;10.01.гХя жпнот
0101;J12;11.на;11.01.на жпнот
0101;J13;12.щн;12.01.щн жпнот
0101;K10;13.йюс;13.01.йюс
0101;M10;14.дцл;14.01.дцл
0101;M11;14.дцл;14.02.дцл гХя
0101;M12;14.дцл;14.03.дцл на
0101;M13;14.дцл;14.04.дцл на цн
0101;M14;14.дцл;14.05.дцл обя
0101;M16;14.дцл;14.06.дцл рн
0101;M17;14.дцл;14.07.дцл лрп
0101;N10;15.длрн;15.01.длрн
0101;P10;16.доаХнр;16.01.доаХнр
0101;Q10;17.сан;17.01.сан
0101;R10;18.жцп;18.01.жцп
0101;S10;19.цс;19.01.цс
0101;T10;20.рд;20.01.рд
0101;T11;20.рд;20.02.рд нРД Ф/Д РПЮМ
0101;T12;20.рд;20.03.рд нРД ПЕЛ РЕУМ
0101;T13;20.рд;20.04.рд сйпфдр
0101;T14;20.рд;20.05.рд нРДсВлНМюБРН
0101;U10;21.схр;21.01.схр
0101;W10;22.сйя;22.01.сйя
0101;Y10;23.спра;23.01.спра
0101;Z10;24.жцря;24.01.жцря
